product_name,sales_price,discount_price,images,category,reviews
Bright Intense Eye Cream,"NGN 25,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41033%2F41033.png%3Fversion%3D1680639300&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,8
Lift + Firm Eye Cream,"NGN 25,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42425%2F42425.png%3Fversion%3D1675683044&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,10
Multi-Active Anti-Ageing Night Cream Light,"NGN 28,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41057%2F41057.png%3Fversion%3D1675683039&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,3
Refresh Gel Cleanser,"NGN 23,030.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41029%2F41029.png%3Fversion%3D1675683013&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,25
Multi-Active Anti-Ageing Night Cream Rich,"NGN 28,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41058%2F41058.png%3Fversion%3D1675177200&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,17
Bright Intense Routine Light,"NGN 144,990.00","NGN 115,990.00",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F45598%2F45598.png%3Fversion%3D1675350902&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,0
Blemish + Age Defy Routine Light,"NGN 144,990.00","NGN 115,990.00",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F45608%2F45608.png%3Fversion%3D1674983700&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,20
Lift + Firm Routine Rich,"NGN 144,990.00","NGN 115,990.00",https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43691%2F43691.png%3Fversion%3D1675351801&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,43
Lift + Firm Serum,"NGN 37,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41037%2F41037.png%3Fversion%3D1675429200&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,13
Blemish + Age Defy Serum,"NGN 37,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41039%2F41039.png%3Fversion%3D1675425600&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,9
Bright Intense Serum,"NGN 37,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41040%2F41040.png%3Fversion%3D1689937269&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,9
Multi-Active Anti-Ageing Day Cream Light SPF 30,"NGN 28,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41044%2F41044.png%3Fversion%3D1675683028&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,7
Multi-Active Anti-Ageing Day Cream Rich SPF 30,"NGN 28,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41048%2F41048.png%3Fversion%3D1675683035&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,8
Cream Sensitive Body + Face SPF 50+ Very High,"NGN 21,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F35760%2F35760.png%3Fversion%3D1662983100&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,77
Wrinkle Smooth Eye Cream,"NGN 25,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41034%2F41034.png%3Fversion%3D1678878000&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,5
